SumHora,Fecha
80866931,10/09/2016
101828138,11/09/2016
99377172,12/09/2016
50051942,13/09/2016
73282976,14/09/2016
104312897,15/09/2016
37579222,16/09/2016
77744103,17/09/2016
106553838,18/09/2016
62521782,19/09/2016
60654580,20/09/2016
338546861,21/09/2016
74085078,22/09/2016
125687517,23/09/2016
120620034,24/09/2016
157369637,25/09/2016
89578481,26/09/2016
96927524,27/09/2016
143101655,28/09/2016
109729164,29/09/2016
257481909,30/09/2016
272311184,1/10/2016
94246809,2/10/2016
91834235,3/10/2016
88617805,4/10/2016
207752007,5/10/2016
74807957,6/10/2016
113293527,7/10/2016
71870315,8/10/2016
49511692,9/10/2016
67361427,10/10/2016
55201002,11/10/2016
79096473,12/10/2016
97118355,13/10/2016
59636115,14/10/2016
135681137,15/10/2016
141914536,16/10/2016
117075872,17/10/2016
135757569,18/10/2016
58921344,19/10/2016
119404354,20/10/2016
116802787,21/10/2016
70893597,22/10/2016
98311850,23/10/2016
79582082,24/10/2016
76268670,25/10/2016
109777328,26/10/2016
57210443,27/10/2016
122611781,28/10/2016
69425935,29/10/2016
54444891,30/10/2016
95110401,31/10/2016
216599642,1/11/2016
129423649,2/11/2016
39869084,3/11/2016
99374085,4/11/2016
203638419,5/11/2016
174448315,6/11/2016
170503333,7/11/2016
81491391,8/11/2016
66331378,9/11/2016
66043696,10/11/2016
185833249,11/11/2016
38740032,12/11/2016
49985519,13/11/2016
147447054,14/11/2016
166678416,15/11/2016
90389940,16/11/2016
63398053,17/11/2016
25284386,18/11/2016
86119018,19/11/2016
57526651,20/11/2016
30833590,21/11/2016
39242869,22/11/2016
83512059,23/11/2016
88002308,24/11/2016
197010379,25/11/2016
35067318,26/11/2016
28506629,27/11/2016
63290261,28/11/2016
84961615,29/11/2016
117730712,30/11/2016
156031278,1/12/2016
51232801,2/12/2016
80183705,3/12/2016
41779258,4/12/2016
93404904,5/12/2016
104840431,6/12/2016
49950133,7/12/2016
67387276,8/12/2016
62284095,9/12/2016
68184376,10/12/2016
48691709,11/12/2016
74371937,12/12/2016
79306471,13/12/2016
64667517,14/12/2016
48372890,15/12/2016
36458334,16/12/2016
22175993,17/12/2016
21777822,18/12/2016
63514520,19/12/2016
25293451,20/12/2016
46865313,21/12/2016
33702859,22/12/2016
28682051,23/12/2016
27542646,24/12/2016
61233076,25/12/2016
61161589,26/12/2016
31479598,27/12/2016
40138877,28/12/2016
24637683,29/12/2016
28144421,30/12/2016
23697849,31/12/2016
33146692,1/01/2017
26498970,2/01/2017
52608587,3/01/2017
38083390,4/01/2017
43371908,5/01/2017
26295292,6/01/2017
51404990,7/01/2017
57943506,8/01/2017
54342990,9/01/2017
23001209,10/01/2017
31533392,11/01/2017
42075361,12/01/2017
113859968,13/01/2017
60853696,14/01/2017
26898163,15/01/2017
36674919,16/01/2017
27687868,17/01/2017
35689297,18/01/2017
29562126,19/01/2017
62854845,20/01/2017
23704414,21/01/2017
45189019,22/01/2017
20015296,23/01/2017
76558062,24/01/2017
98004792,25/01/2017
53618344,26/01/2017
49713622,27/01/2017
17088324,28/01/2017
29092646,29/01/2017
79714835,30/01/2017
44191761,31/01/2017
151080324,1/02/2017
42310049,2/02/2017
26113772,3/02/2017
15104924,4/02/2017
30803237,5/02/2017
13618511,6/02/2017
108196961,7/02/2017
43532487,8/02/2017
61033519,9/02/2017
23313940,10/02/2017
26322030,11/02/2017
35560569,12/02/2017
19958033,13/02/2017
47348975,14/02/2017
48596950,15/02/2017
34482008,16/02/2017
51400501,17/02/2017
59732758,18/02/2017
32990601,19/02/2017
22714804,20/02/2017
48751213,21/02/2017
50642987,22/02/2017
60866094,23/02/2017
93179343,24/02/2017
96116028,25/02/2017
60097123,26/02/2017
96704410,27/02/2017
58484618,28/02/2017
159432879,1/03/2017
84351469,2/03/2017
89036123,3/03/2017
44668539,4/03/2017
28636625,5/03/2017
90418901,6/03/2017
119370985,7/03/2017
126541301,8/03/2017
91562092,9/03/2017
125948621,10/03/2017
94102398,11/03/2017
175950180,12/03/2017
64874056,13/03/2017
91881197,14/03/2017
154831497,15/03/2017
57453229,16/03/2017
29323079,17/03/2017
29871460,18/03/2017
18883002,19/03/2017
30707370,20/03/2017
23428428,21/03/2017
53657778,22/03/2017
70392134,23/03/2017
66960675,24/03/2017
111598805,25/03/2017
98185398,26/03/2017
102820741,27/03/2017
115180148,28/03/2017
184921445,29/03/2017
57163993,30/03/2017
36094979,31/03/2017
74727560,1/04/2017
47168576,2/04/2017
57838809,3/04/2017
295322987,4/04/2017
73647126,5/04/2017
105961576,6/04/2017
109743438,7/04/2017
134151211,8/04/2017
101043266,9/04/2017
110235436,10/04/2017
42960393,11/04/2017
58152505,12/04/2017
50299812,13/04/2017
123587523,14/04/2017
90389321,15/04/2017
50702554,16/04/2017
167617023,17/04/2017
79403533,18/04/2017
527862757,19/04/2017
159708513,20/04/2017
193796859,21/04/2017
56987564,22/04/2017
41572259,23/04/2017
106850206,24/04/2017
86928227,25/04/2017
137513091,26/04/2017
73286848,27/04/2017
34827516,28/04/2017
58361813,29/04/2017
122142037,30/04/2017
166066132,1/05/2017
115832554,2/05/2017
78022133,3/05/2017
92836660,4/05/2017
120899556,5/05/2017
68465103,6/05/2017
39320524,7/05/2017
95829956,8/05/2017
56309945,9/05/2017
103130436,10/05/2017
172737973,11/05/2017
41371261,12/05/2017
63571611,13/05/2017
116324256,14/05/2017
134631352,15/05/2017
115759733,16/05/2017
219843096,17/05/2017
113262581,18/05/2017
112721778,19/05/2017
96918245,20/05/2017
99227113,21/05/2017
66012988,22/05/2017
88858519,23/05/2017
163304801,24/05/2017
67800645,25/05/2017
39798512,26/05/2017
33208551,27/05/2017
50484377,28/05/2017
107711614,29/05/2017
108479445,30/05/2017
78650736,31/05/2017
155942889,1/06/2017
68587087,2/06/2017
70280443,3/06/2017
105840545,4/06/2017
198832478,5/06/2017
90222036,6/06/2017
110176846,7/06/2017
99677579,8/06/2017
50278651,9/06/2017
86737518,10/06/2017
94005584,11/06/2017
81752616,12/06/2017
117245932,13/06/2017
131521214,14/06/2017
111914024,15/06/2017
124783177,16/06/2017
83075507,17/06/2017
80206223,18/06/2017
95761841,19/06/2017
104534660,20/06/2017
535700381,21/06/2017
105532169,22/06/2017
149284465,23/06/2017
82836643,24/06/2017
157973224,25/06/2017
135077811,26/06/2017
83315620,27/06/2017
80852069,28/06/2017
110503563,29/06/2017
104425,1/07/2017
213497,2/07/2017
2233427,3/07/2017
2452126,4/07/2017
18103774,5/07/2017
10441307,6/07/2017
26002068,7/07/2017
14965436,8/07/2017
32129540,9/07/2017
6226464,10/07/2017
20374280,11/07/2017
9700812,12/07/2017
16276102,13/07/2017
22323387,14/07/2017
45302256,15/07/2017
40165038,16/07/2017
26200482,17/07/2017
40168132,18/07/2017
42687473,19/07/2017
15806868,20/07/2017
10811941,21/07/2017
9694541,22/07/2017
12944640,23/07/2017
23017830,24/07/2017
88495210,25/07/2017
100081440,26/07/2017
102238994,27/07/2017
130107682,28/07/2017
154096868,29/07/2017
131906939,30/07/2017
47473910,31/07/2017
144543460,1/08/2017
95905457,2/08/2017
101764361,3/08/2017
170383531,4/08/2017
104727243,5/08/2017
45471995,6/08/2017
165674573,7/08/2017
60729410,8/08/2017
420986706,9/08/2017
100932833,10/08/2017
139654100,11/08/2017
205068318,12/08/2017
57503340,13/08/2017
36935300,14/08/2017
205014060,15/08/2017
376475517,16/08/2017
183916876,17/08/2017
175956811,18/08/2017
104968590,19/08/2017
59028355,20/08/2017
94216719,21/08/2017
89871486,22/08/2017
193050679,23/08/2017
275540699,24/08/2017
117973464,25/08/2017
130373449,26/08/2017
157828475,27/08/2017
92502037,28/08/2017
139854001,29/08/2017
247230904,30/08/2017
98628405,31/08/2017
147157074,1/09/2017
172984451,2/09/2017
39276882,3/09/2017
68464094,4/09/2017
70427949,5/09/2017
106696218,6/09/2017
159570636,7/09/2017
80241513,8/09/2017
86955807,9/09/2017
65134088,10/09/2017
57786890,11/09/2017
81005589,12/09/2017
71751664,13/09/2017
69363562,14/09/2017
118811840,15/09/2017
118872811,16/09/2017
90566786,17/09/2017
61754222,18/09/2017
204770309,19/09/2017
32792726,20/09/2017
